title;year;duration;genre;rating;votes
Frontera Verde;(2019);41 min;Crime, Drama, Thriller;72;2590
The Invisible Guardian;(2017);129 min;Crime, Thriller;64;16086
Hope Gap;(2019);100 min;Drama, Romance;67;5127
Sweet Virginia;(2017);93 min;Action, Drama, Thriller;62;10866
Tear Along the Dotted Line;(2021– );20 min;Animation, Comedy, Drama;86;8453
Dance of the 41;(2020);99 min;Biography, Drama, History;68;4538
Edge of Fear;(2018);91 min;Action, Crime, Thriller;45;3257
My Teacher, My Obsession;(2018 TV Movie);90 min;Drama, Thriller;44;2407
Mixtape;(II) (2021);93 min;Comedy, Drama, Family;66;3525
Holy Family;(2022– );;Drama;;
Sextuplets;(2019);97 min;Comedy;44;8687
The Good Detective;(2020);60 min;Action, Drama, Mystery;75;824
Sell Your Haunted House;(2021– );65 min;Comedy, Fantasy, Horror;76;899
An Affair to Die For;(2019);82 min;Horror, Thriller;48;2129
Fever Dream;(2021);93 min;Drama, Horror, Mystery;54;2006
Florida Man;(2022– );;Drama;;
My Daughter's Killer;(2022);83 min;Documentary, Crime;68;1359
El Dragón: Return of a Warrior;(2019–2020);45 min;Action, Adventure, Drama;68;1894
David Attenborough: A Life on Our Planet;(2020);83 min;Documentary, Biography;89;32001
22 Bullets;(2010);117 min;Action, Crime, Drama;66;34971
Red Dot;(2021);86 min;Drama, Horror, Thriller;55;13476
The Chef Show;(2019– );30 min;Documentary;82;5174
Wheelman;(2017);82 min;Action, Crime, Thriller;64;20704
Midnight Diner: Tokyo Stories;(2016–2019);24 min;Drama;84;4238
Ask the StoryBots;(2016–2019);24 min;Animation, Adventure, Comedy;84;904
The Hookup Plan;(2018–2022);27 min;Comedy, Romance;71;5465
Winchester '73;(1950);92 min;Action, Drama, Western;76;20016
Mother's Love;(2022);110 min;Comedy;58;2919
Hoops;(2020);25 min;Animation, Comedy, Sport;60;6367
The Boss Baby: Back in Business;(2018–2021);25 min;Animation, Adventure, Comedy;64;3810
Angels of Death;(2018);24 min;Animation, Adventure, Horror;64;2152
Youth of May;(2021– );65 min;Drama, History, Romance;84;1313
Family Business;(2019–2021);;Comedy;74;4180
Knights of the Zodiac;(1986–1989);24 min;Animation, Action, Adventure;84;10092
Centaur;(2022);89 min;Action, Adventure, Crime;53;1164
The Perfect Host;(2010);93 min;Comedy, Crime, Thriller;67;27105
Father Christmas Is Back;(2021);105 min;Comedy;45;5701
Out of My League;(2020);91 min;Comedy, Drama, Romance;61;2856
Think Like a Dog;(2020);91 min;Comedy, Drama, Family;51;1838
W/Bob and David;(2015);30 min;Comedy;73;4363
Mieruko-chan;(2021– );24 min;Animation, Comedy, Fantasy;72;1647
The Irregular at Magic High School;(2014– );22 min;Animation, Action, Drama;71;3455
The Princess Switch 3;(2021);106 min;Comedy, Drama, Family;55;5921
Benji;(I) (2018);87 min;Crime, Drama, Family;63;4861
Nobody Sleeps in the Woods Tonight 2;(2021);96 min;Comedy, Horror, Thriller;39;3814
A Fortunate Man;(2018);162 min;Drama, Romance;72;6337
Ricky Gervais: SuperNature;(2022 TV Special);64 min;Comedy;76;18412
Colin in Black & White;(2021);30 min;Biography, Drama, Sport;57;7374
Órbita 9;(2017);95 min;Drama, Romance, Sci-Fi;59;7830
Violetta;(2012–2015);45 min;Drama, Family, Music;51;2489
Sounds Like Love;(2021);110 min;Comedy, Music, Romance;54;2252
Homesick;(2015);106 min;Drama;55;1470
Dragon Quest: The Adventure of Dai;(2020– );24 min;Animation, Action, Adventure;80;884
Jungle Beat: The Movie;(2020);88 min;Animation, Adventure, Comedy;54;1058
The Trap;(III) (2019);90 min;Comedy;43;1701
Beef;;30 min;Comedy, Drama;;
Haereul poomeun dal;(2012);;Drama, Fantasy, Romance;80;2712
The Crowned Clown;(2019);80 min;Drama, History, Romance;80;1013
Heaven Official's Blessing;(2020– );;Animation;82;1580
The Trip;(2010–2020);172 min;Comedy;80;7652
The Devil Inside;(2012);83 min;Horror;42;36124
Gate;(2015–2016);24 min;Animation, Action, Adventure;75;3509
Kaos;;60 min;Comedy, Drama, Fantasy;;
Magic: The Gathering;(2022– );;Animation, Action, Adventure;;
Paddleton;(2019);89 min;Comedy, Drama;71;13991
Bullsh*t the Game Show;(2022– );30 min;Game-Show, Reality-TV;61;812
Ad Vitam;(2018);60 min;Crime, Drama, Mystery;63;1737
Most Dangerous Game;;;Comedy;;
Headshot;(II) (2016);118 min;Action, Drama, Thriller;63;14960
Bolívar: Una lucha admirable;(2019);52 min;Action, Biography, Drama;73;774
Holiday in the Wild;(2019);85 min;Comedy, Drama, Romance;61;15348
Clean with Passion for Now;(2017–2019);70 min;Comedy, Romance;70;1568
Rurouni Kenshin: Trust and Betrayal;(1999);118 min;Animation, Action, Adventure;86;14840
F*ck Love Too;(2022);92 min;Comedy, Romance;38;1142
Old Enough!;(1990– );;Documentary;81;766
Somewhere Between;(2017);41 min;Drama, Mystery, Sci-Fi;62;6040
White Hot: The Rise & Fall of Abercrombie & Fitch;(2022);88 min;Documentary;57;4453
Stove League;(2019–2020);60 min;Drama, Sport;83;918
Luis Miguel: The Series;(2018–2021);60 min;Biography, Drama, History;80;4729
The Tatami Galaxy;(2010);253 min;Animation, Comedy, Drama;84;4167
Sort Of;(2021– );30 min;Comedy, Drama;68;1278
Unrecorded Night;;;Drama, Mystery;;
Saving Zoë;(2019);95 min;Crime, Drama, Mystery;53;2090
Hache;(2019–2021);50 min;Crime, Drama, Thriller;65;1675
The Hurricane Heist;(2018);103 min;Action, Adventure, Crime;51;20847
Two;(2021);70 min;Drama, Mystery, Thriller;43;4482
LBJ;(2016);98 min;Biography, Drama, History;65;6872
Yummy;(2019);88 min;Comedy, Horror;59;5264
Vivy: Fluorite Eye's Song;(2021– );25 min;Animation, Action, Adventure;81;3128
The Scorpion King 3: Battle for Redemption;(2012 Video);105 min;Action, Fantasy;37;8657
The Deep;(2015– );22 min;Animation, Action, Adventure;78;698
Dragon's Dogma;(2020– );;Animation, Action, Adventure;63;3585
A Christmas Prince;(2017);92 min;Comedy, Family, Romance;58;19687
Forgiven;(2016);79 min;Drama, Family, Thriller;38;224
How I Fell in Love with a Gangster;(2022);185 min;Crime, Drama;60;2350
The Yin-Yang Master: Dream of Eternity;(2020);132 min;Action, Drama, Fantasy;64;4847
The Lost Pirate Kingdom;(2021– );43 min;Documentary, Adventure, Drama;66;2880
The Hard Way;(2019);92 min;Action, Thriller;48;3328
Unbreakable Kimmy Schmidt: Kimmy vs the Reverend;(2020 TV Movie);80 min;Adventure, Comedy, Mystery;69;5514
Pandora;(2016);136 min;Action, Drama, Thriller;66;7572
Camp Lazlo!;(2005–2022);30 min;Animation, Short, Adventure;64;9971
Halftime;(2022);95 min;Documentary, Biography, Music;65;4643
Word of Honor;(2021– );45 min;Action, Drama, Fantasy;86;3047
Uglies;;;Action, Adventure, Drama;;
Power Rangers Megaforce;(2013–2014);24 min;Action, Adventure, Family;56;1681
Catfight;(I) (2016);95 min;Action, Comedy, Drama;59;6477
My Wonderful Life;(2021);99 min;Comedy, Drama, Romance;59;701
When Angels Sleep;(2018);91 min;Adventure, Drama, Horror;55;3731
Copenhagen;(2014);98 min;Adventure, Drama, Romance;70;13318
Tomorrow Is Forever;(1946);104 min;Drama, Romance, War;73;2637
Fake or Fortune;(2010– );63 min;Documentary;86;590
Beauty;(2022);95 min;Drama, Romance;40;587
42 Days of Darkness;(2022– );45 min;Crime, Drama, Mystery;65;1200
Ju-on: Origins;(2020);30 min;Drama, Horror, Mystery;61;4632
The Scary House;(2020);100 min;Horror, Mystery, Thriller;54;3943
Playing with Fire;(2019);43 min;Drama;59;1018
Pets United;(2019);89 min;Animation, Adventure, Comedy;37;2803
The Body;(II) (2019);101 min;Mystery, Thriller;54;3498
2gether;(2020);50 min;Comedy, Drama, Romance;77;3556
The Skin of the Wolf;(2017);110 min;Drama;58;3155
The Mind, Explained;(2019– );20 min;Documentary;80;5404
Tales of the City;(1993);360 min;Drama, Mystery, Romance;83;4085
Ravenous;(2017);104 min;Action, Adventure, Drama;58;9349
Cells at Work!;(2018– );24 min;Animation, Action, Comedy;75;2345
True Memoirs of an International Assassin;(2016);98 min;Action, Comedy, Crime;59;23068
After Porn Ends 3;(2018);86 min;Documentary;54;1656
Justice Served;(2022– );40 min;Crime, Drama, Thriller;47;460
Happy New Year;(I) (2014);180 min;Action, Comedy, Crime;49;37421
Palm Trees in the Snow;(2015);163 min;Drama, Romance;73;11891
Meenakshi Sundareshwar;(2021);140 min;Comedy, Romance;70;17592
Irreplaceable You;(2018);96 min;Comedy, Drama, Romance;64;9740
I Still See You;(2018);98 min;Fantasy, Horror, Sci-Fi;58;10264
Search: WWW;(2019);70 min;Drama, Romance;78;1463
Shock Treatment;(1973);91 min;Crime, Drama, Horror;61;1535
Clinical;(2017);104 min;Horror, Thriller;51;8222
#BlackAF;(2020);36 min;Comedy;67;4887
Crack: Cocaine, Corruption & Conspiracy;(2021);89 min;Documentary, Crime, History;67;3423
Prank Encounters;(2019– );24 min;Comedy, Horror, Reality-TV;52;2813
Castlevania: Nocturne;;;Animation, Action, Adventure;;
Houdini;(2014);174 min;Biography, Drama;73;11768
Turn Up Charlie;(2019);30 min;Comedy, Music;70;7511
Two Distant Strangers;(2020);32 min;Short, Drama, Sci-Fi;69;15331
Yasamayanlar;(2018);60 min;Drama, Fantasy;48;3325
The Lizzie Borden Chronicles;(2015);337 min;Biography, Crime, Drama;69;4195
Twilight of the Gods;;;Animation, Action, Adventure;;
Truth or Die;(II) (2012);96 min;Horror, Mystery;56;9562
Coco Before Chanel;(2009);105 min;Biography, Drama;66;40694
The Gruffalo;(2009 TV Movie);27 min;Animation, Family, Fantasy;75;6977
The Princess Switch;(2018);101 min;Comedy, Drama, Family;60;28116
The Curious Creations of Christine McConnell;(2018);26 min;Comedy, Horror, Talk-Show;77;2432
The Time It Takes;(2021– );10 min;Short, Drama, Romance;71;1394
Bard of Blood;(2019– );45 min;Action, Adventure, Drama;68;13114
Shirley;(2023);;Biography, Drama, History;;
Some Assembly Required;(2014–2016);;Comedy, Family;44;980
Nayattu;(2021);124 min;Crime, Thriller;81;7255
Gladbeck: The Hostage Crisis;(2022);91 min;Documentary, Crime;75;2171
Rocco;(2016);105 min;Documentary;57;4101
The Princess Switch: Switched Again;(2020);96 min;Comedy, Drama, Family;54;11579
Out in the Dark;(2012);96 min;Crime, Drama, Romance;75;8553
The Laws of the Border;(2021);127 min;Action, Adventure, Crime;69;4161
The 1st Shop of Coffee Prince;(2007);55 min;Comedy, Drama, Romance;82;5541
Xtreme;(2021);111 min;Action, Crime, Drama;58;4436
Hell and Back;(2015);86 min;Animation, Adventure, Comedy;53;5061
D.B. Cooper: Where Are You?!;(2022);169 min;Documentary, Crime;54;2440
The Boulet Brothers' Dragula;(2016– );48 min;Game-Show, Horror, Reality-TV;79;1217
The Brothers Sun;(2023– );;Action, Comedy, Drama;;
Ferry;(2021);106 min;Action, Crime, Drama;70;11080
Encounter;(2018–2019);60 min;Drama, Romance;76;1655
Go Karts;(2020);102 min;Family, Sport;59;3010
Ajeeb Daastaans;(2021);142 min;Drama, Romance;67;5839
O sabor das margaridas;(2018–2020);70 min;Drama, Thriller;72;3541
A Wonderful Sight;(2021);70 min;Action, Comedy, Thriller;70;678
Bodies;;60 min;Crime, Drama, Thriller;;
Haganai: I Don't Have Many Friends;(2011– );25 min;Animation, Comedy, Drama;70;2382
Rebel Ridge;;;Action, Thriller;;
Law School;(2021– );65 min;Crime, Drama, Mystery;80;2282
Scaredy Cats;(2021– );;Comedy, Family, Fantasy;64;368
Johnny Test;(2005–2014);30 min;Animation, Action, Adventure;51;8436
Death to 2021;(2021 TV Special);60 min;Comedy;63;14757
The Photographer of Mauthausen;(2018);110 min;Biography, Drama, History;67;10950
Anatomy of a Love Seen;(2014);80 min;Drama, Romance;47;2620
The Assistant;(2022);124 min;Action, Thriller;55;258
The Tree of Blood;(2018);130 min;Drama;63;3054
The Andy Warhol Diaries;(2022);395 min;Documentary;77;2055
A Muse;(2012);129 min;Drama, Romance;66;2186
Home for Christmas;(2019–2020);29 min;Comedy, Drama, Romance;77;13956
Bad Sport;(2021– );55 min;Documentary, Crime, Mystery;73;2332
Ridley Jones;(2021– );27 min;Animation, Adventure, Comedy;48;266
Back to 15;(2022– );40 min;Comedy, Drama;67;741
Sex, Love & Goop;(2021– );;Comedy, Romance, Talk-Show;48;794
Mindhorn;(2016);89 min;Comedy, Thriller;63;12866
Trigger Warning;(2022);;Action, Thriller;;
Soil;(2021– );45 min;Comedy, Drama;72;795
Ku'damm 56;(2016);100 min;Drama;76;2199
Vampire in the Garden;(2022– );25 min;Animation, Action, Adventure;67;1117
Why Are You Like This;(2018– );;Comedy;65;1602
A Shaun the Sheep Movie: Farmageddon;(2019);86 min;Animation, Adventure, Comedy;68;13797
Darwin's Game;(2020– );23 min;Animation, Action, Drama;72;2589
Secret Magic Control Agency;(2021);103 min;Animation, Adventure, Comedy;62;4166
All Day and a Night;(2020);121 min;Drama;59;3830
Grenseland;(2017– );60 min;Crime, Drama, Thriller;67;4202
Dave Chappelle: The Closer;(2021 TV Special);72 min;Comedy;80;26593
BNA;(2020);23 min;Animation, Action, Fantasy;72;2700
Barbie: Life in the Dreamhouse;(2012–2015);3 min;Animation, Short, Comedy;74;1950
Dali and the Cocky Prince;(2021– );70 min;Comedy, Drama, Romance;81;910
When My Love Blooms;(2020);60 min;Drama, Romance;76;393
18 Presents;(2020);115 min;Drama;69;3860
Animal;(2021– );45 min;Documentary;79;1263
Love Island Australia;(2018–2022);50 min;Reality-TV;54;652
David Brent: Life on the Road;(2016);96 min;Comedy, Music;63;20604
Tomb Raider;(2023– );;Animation, Action, Adventure;;
A Twelve-Year Night;(2018);122 min;Adventure, Biography, Crime;75;10022
Monkey Man;(2023);;Action, Thriller;;
All My Friends Are Dead;(2020);96 min;Comedy, Crime, Drama;58;6412
The Creature Cases;(2022– );28 min;Animation, Action, Adventure;84;101
Yakuza and the Family;(2020);136 min;Crime, Drama;70;2383
All Together Now;(2020);92 min;Drama;65;4490
Blue Period;(2021– );24 min;Animation, Drama;77;2205
Beyond a Reasonable Doubt;(2009);106 min;Crime, Drama, Mystery;58;13020
Prey;(2016);108 min;Comedy, Horror, Thriller;53;2519
The Girls at the Back;(2022);260 min;Comedy, Drama;71;26
The Loud House Movie;(2021);83 min;Animation, Adventure, Comedy;61;2122
Mad for Each Other;(2021– );30 min;Comedy, Drama, Romance;79;1872
Top Secret UFO Projects: Declassified;(2021– );;Documentary;55;1502
Nyad;;;Biography, Drama, Sport;;
Medical Police;(2020);242 min;Comedy;60;4277
Crime Scene: The Vanishing at the Cecil Hotel;(2021);220 min;Documentary, Crime, Mystery;59;17958
Spycraft;(2020–2022);271 min;Documentary;67;2105
The Increasingly Poor Decisions of Todd Margaret;(2009–2016);25 min;Comedy;75;6610
The Watcher;(II) (2016);89 min;Horror, Thriller;54;3005
Our Man Flint;(1966);108 min;Action, Adventure, Comedy;64;6567
Swearnet: The Movie;(2014);112 min;Comedy;60;2833
X-Men;(2011);23 min;Animation, Action, Sci-Fi;68;2264
The Incredible Jessica James;(2017);85 min;Comedy;65;7844
Babylon;(2014);50 min;Comedy, Crime, Drama;70;2262
The Dreamseller;(2016);98 min;Drama;60;1537
Special Correspondents;(2016);101 min;Comedy;59;24467
Crazy About Her;(2021);102 min;Comedy, Romance;66;5850
Coven;(2020);92 min;Drama, History;64;4883
Won't Back Down;(2012);121 min;Drama;64;6660
Beats;(I) (2019);109 min;Drama;63;5310
The Expanding Universe of Ashley Garcia;(2020);;Comedy;67;1247
Kiss the Ground;(2020);84 min;Documentary;82;6883
Navillera;(2021– );60 min;Drama;88;2295
The Land of Steady Habits;(2018);98 min;Comedy, Drama;62;7859
The Magic School Bus Rides Again;(2017–2021);26 min;Animation, Adventure, Family;62;839
Thieves of the Wood;(2018–2020);45 min;Adventure, Drama, History;68;2678
Hamlet;(VIII);;Comedy;;
Crip Camp;(2020);106 min;Documentary, History;77;7558
The Barrier;(2020– );50 min;Drama, Sci-Fi;68;3553
Lady Dynamite;(2016–2017);30 min;Comedy;73;3734
Daughter from Another Mother;(2021– );;Comedy, Drama;73;1852
A Trip to Infinity;(2022);79 min;Documentary;;
High School of the Dead: Drifters of the Dead;(2011 Video);16 min;Animation, Short, Comedy;55;481
Isi & Ossi;(2020);113 min;Comedy, Romance;64;8553
Mystic Pop-up Bar;(2020);70 min;Comedy, Fantasy, Mystery;80;2181
The Swarm;(2020);101 min;Drama, Fantasy, Horror;53;7043
I Am Jonas;(2018 TV Movie);82 min;Drama, Mystery, Romance;70;6056
Made You Look: A True Story About Fake Art;(2020);94 min;Documentary, Crime;70;4329
Bobby Z;(2007);97 min;Action, Crime, Thriller;58;14817
Erased;(2017);30 min;Drama, Fantasy, Mystery;78;3761
Knights of the Zodiac: Saint Seiya;(2019–2022);24 min;Animation, Action, Adventure;46;1896
Aggretsuko;(2018– );15 min;Animation, Comedy, Drama;80;6294
Vault;(I) (2019);99 min;Action, Crime, Drama;54;2534
Oktoberfest: Beer & Blood;(2020);288 min;Drama, History, Thriller;68;2226
Pariah;(I) (2011);86 min;Drama;72;7052
Little Einsteins;(2005–2010);;Animation, Adventure, Comedy;63;1940
Dark Tourist;(2018);40 min;Documentary;75;7418
The Fiery Priest;(2019– );35 min;Action, Comedy, Crime;82;927
Saga of Tanya the Evil;(2017– );24 min;Animation, Action, Adventure;76;3375
El Cartel de los Sapos;(2008– );;Action, Crime, Drama;80;783
Serial (Bad) Weddings 2;(2019);99 min;Comedy, Drama;61;8088
Solo;(II) (2018);91 min;Adventure, Biography, Drama;50;2845
Kitz;(2021– );45 min;Drama, Mystery, Thriller;57;2472
Save Me;(2017–2019);60 min;Mystery, Thriller;79;1476
Treason;;;Action, Drama, Thriller;;
Mo Amer: Mohammed in Texas;(2021 TV Special);64 min;Comedy;66;838
Jo Koy: In His Elements;(2020 TV Special);55 min;Comedy;53;546
This Film Is Not Yet Rated;(2006);98 min;Documentary;74;28229
The Holiday Calendar;(2018);95 min;Comedy, Drama, Fantasy;57;10178
Homunculus;(I) (2021);115 min;Drama, Fantasy, Mystery;55;2867
A Cinderella Story: Christmas Wish;(2019 Video);85 min;Comedy, Family, Fantasy;52;6511
An Interview with God;(2018);97 min;Drama, Mystery;58;4045
The Main Event;(2020);101 min;Action, Comedy, Family;48;2365
Designated Survivor: 60 Days;(2019);70 min;Drama, Thriller;81;1326
Welcome to Demon-School, Iruma-kun;(2019– );23 min;Animation, Comedy, Drama;77;1593
The Last Laugh;(I) (2019);98 min;Comedy;56;6124
Cautious Hero: The Hero Is Overpowered but Overly Cautious;(2019);23 min;Animation, Action, Adventure;74;2616
Angel's Last Mission: Love;(2019);35 min;Comedy, Drama, Fantasy;77;2167
Sneakerheads;(2020);;Comedy;61;1401
Mobile Suit Gundam: Hathaway;(2021);95 min;Animation, Action, Drama;66;1470
Sky High;(2020);121 min;Action, Adventure, Crime;55;3819
Naesungjukin Boseu;(2017);70 min;Comedy, Drama, Romance;72;1697
Vexed;(2010–2012);60 min;Comedy, Crime, Mystery;72;3629
Once Upon a Time in London;(2019);111 min;Crime, History;54;8537
Words Bubble Up Like Soda Pop;(2020);87 min;Animation, Drama, Music;68;3909
First Match;(2018);102 min;Drama, Sport;64;2308
Born to Be Blue;(2015);97 min;Biography, Comedy, Drama;68;8725
Tiger, Blood in the Mouth;(2016);97 min;Drama, Sport;55;856
7 Guardians of the Tomb;(2018);90 min;Action, Adventure, Horror;44;4239
Kabaneri of the Iron Fortress;(2016– );23 min;Animation, Action, Adventure;72;5554
B: The Beginning;(2018– );25 min;Animation, Action, Crime;71;4983
The Knight Before Christmas;(2019);92 min;Adventure, Comedy, Drama;55;17998
Jack Whitehall: Travels with My Father;(2017–2021);30 min;Documentary, Comedy;76;5577
Girls with Balls;(2018);77 min;Comedy, Horror;39;3335
Berserk: The Golden Age Arc II - The Battle for Doldrey;(2012);95 min;Animation, Action, Adventure;77;10720
The Lawyer;(2018– );45 min;Crime, Drama, Mystery;70;1694
Familiar Wife;(2018);60 min;Fantasy, Romance;77;1071
Eastsiders;(2012– );115 min;Drama;68;2843
Manhunt;(2017);106 min;Action, Crime, Thriller;52;3285
My Life with the Walter Boys;;50 min;Drama, Romance;;
La Mante;(2017);52 min;Crime, Drama, Thriller;74;13802
The Best Hit;(2017);30 min;Comedy, Fantasy;76;762
Merry Happy Whatever;(2019);26 min;Comedy;63;4710
The Last Kids on Earth;(2019– );;Animation, Adventure, Comedy;73;1418
Heartthrob;(2017);86 min;Drama, Romance, Thriller;54;2616
Kekkai Sensen;(2015–2017);24 min;Animation, Action, Adventure;72;2184
Greatest Events of WWII in Colour;(2019);50 min;Documentary, History, War;87;8906
The Bag Man;(I) (2014);108 min;Action, Crime, Drama;52;17082
The Sky Is Pink;(2019);143 min;Drama, Romance;76;8796
Fatma;(2021– );40 min;Crime, Drama, Thriller;74;8573
iBoy;(2017);90 min;Action, Crime, Sci-Fi;59;23151
Gaga: Five Foot Two;(2017);100 min;Documentary, Music;70;13068
Serious Men;(2020);114 min;Comedy, Drama;68;7625
Killerman;(2019);112 min;Action, Crime, Thriller;54;10666
Griselda;;;Biography, Crime, Drama;;
Image of Victory;(2021);128 min;Drama, History, War;72;327
The Drug King;(2018);139 min;Action, Crime, Drama;62;3235
A Second Chance: Rivals!;(2019);89 min;Drama, Family, Sport;47;413
Evil Genius: The True Story of America's Most Diabolical Bank Heist;(2018);192 min;Documentary, Crime;75;28419
The Future Of;(2022– );20 min;Documentary;52;360
A Sun;(2019);156 min;Crime, Drama;76;8300
Monsters Inside: The 24 Faces of Billy Milligan;(2021);243 min;Documentary, Crime;62;3763
Betaal;(2020– );46 min;Action, Horror, Thriller;54;9106
Untold: Deal with the Devil;(2021);77 min;Documentary, Crime, Sport;73;2407
New Kids Turbo;(2010);84 min;Action, Comedy;63;16407
High Water;(2022– );;Drama;;
School 2017;(2017);;Comedy, Drama, Mystery;74;1398
A Love So Beautiful;(2020–2021);;Comedy, Romance;73;1067
The Pharmacist;(2020);217 min;Documentary, Crime;77;7440
Karakai Jouzu no Takagi-san;(2018– );23 min;Animation, Comedy, Romance;77;2227
Luna Park;(2021– );;Drama, Romance;65;759
OtherLife;(2017);96 min;Crime, Drama, Mystery;62;15911
Open Season 2;(2008 Video);76 min;Animation, Adventure, Comedy;55;24277
The Wiggles;(1993–2012);30 min;Adventure, Comedy, Family;58;926
Dancing on Glass;(2022);137 min;Drama, Thriller;56;768
Yashahime: Princess Half-Demon;(2020– );;Animation, Action, Adventure;72;1030
La Doña;(2016–2020);45 min;Drama, Romance;69;636
The Edge of Democracy;(2019);121 min;Documentary, History;73;14907
18 Again;(2020);70 min;Comedy, Drama, Fantasy;82;1889
R.L. Stine's Monsterville: Cabinet of Souls;(2015 TV Movie);86 min;Comedy, Fantasy, Horror;56;2279
Guilty Crown;(2011–2012);23 min;Animation, Action, Romance;70;5080
Jim & Andy: The Great Beyond;(2017);94 min;Documentary;76;26160
The Most Hated Woman in America;(2017);91 min;Biography, Drama, History;61;6715
Ajin;(2016– );24 min;Animation, Action, Adventure;76;6345
Your Son;(2018);103 min;Adventure, Drama, Thriller;61;4928
Live Is Life;(2021);109 min;Comedy, Drama;63;890
Stranger Things: Spotlight;(2018);;Talk-Show;89;2023
4 Moons;(2014);110 min;Drama, Romance;74;4477
Luna Nera;(2020);43 min;Drama, Fantasy, Thriller;59;3055
The Legacy of a Whitetail Deer Hunter;(2018);83 min;Comedy, Drama;55;3950
Mrs. Serial Killer;(2020);106 min;Crime, Drama, Thriller;42;19563
Dragon Age: Absolution;(2022– );;Animation, Action, Adventure;;
Anima;(I) (2019);15 min;Short, Music;76;11677
One on Top of the Other;(1969);108 min;Mystery, Thriller;66;2356
6 Balloons;(2018);74 min;Drama;59;4205
Guilty;(II) (2020);119 min;Drama, Thriller;54;4455
Bala;(2019);133 min;Comedy;73;14730
El Camino Christmas;(2017);89 min;Comedy, Crime, Western;57;8918
Typewriter;(2019);48 min;Horror, Mystery, Thriller;65;3957
Eerie;(2018);101 min;Horror, Mystery, Thriller;46;2400
Have a Good Trip;(2020);85 min;Documentary, Comedy;68;7840
Talking Tom and Friends;(2014– );11 min;Animation, Short, Adventure;58;475
L'ultimo paradiso;(2021);107 min;Drama, Romance;57;1387
I Am Georgina;(2022);41 min;Reality-TV;39;2976
Under the Amalfi Sun;(2022);95 min;Comedy, Drama, Romance;53;842
Coffee & Kareem;(2020);88 min;Action, Comedy, Crime;51;13753
Sunderland 'Til I Die;(2018–2020);39 min;Documentary, Sport;81;8352
Sex, Explained;(2020);111 min;Documentary;69;3265
Floor Is Lava;(2020– );38 min;Game-Show, Reality-TV;53;2504
Osmosis;(2019);55 min;Romance, Sci-Fi;58;3070
Take Me;(2017);83 min;Comedy, Crime, Mystery;61;6053
Mobile Suit Gundam: Iron-Blooded Orphans;(2015– );24 min;Animation, Action, Drama;79;1732
The Queen and the Conqueror;(2020– );50 min;Drama, History;64;186
Rolling Thunder Revue;(2019);142 min;Documentary, Biography, History;76;6843
50M2;(2021);45 min;Comedy, Drama, Thriller;69;5746
Rilakkuma's Theme Park Adventure;(2022– );15 min;Animation, Adventure, Comedy;67;109
The Night Agent;(2022– );;Action, Drama, Thriller;;
Black Earth Rising;(2018);60 min;Thriller;74;4982
The Outcasts;(2017);95 min;Comedy;54;4640
When the Camellia Blooms;(2019);30 min;Comedy, Drama, Romance;79;2560
Pray Away;(2021);101 min;Documentary;65;3005
Alvinnn!!! And the Chipmunks;(2015– );11 min;Animation, Comedy, Family;45;1417
Conversations with a Killer: The Jeffrey Dahmer Tapes;(2022);;Documentary, Biography, Crime;;
Ares;(2020);32 min;Drama, Horror, Mystery;57;4448
Atlantics;(2019);106 min;Drama, Mystery, Romance;67;9492
Selling Tampa;(2021– );45 min;Reality-TV;46;874
Ghost in the Shell 2: Innocence;(2004);100 min;Animation, Drama, Mystery;74;38504
Cyber Hell: Exposing an Internet Horror;(2022);105 min;Documentary, Crime;65;1628
The Soul;(2021);130 min;Drama, Mystery, Sci-Fi;66;2889
High Society;(2018);120 min;Drama;55;1052
Rosemary's Baby;(2014);170 min;Drama, Horror, Mystery;55;5526
The Yard;(2018–2019);120 min;Crime, Drama;71;1692
Murder Among the Mormons;(2021);160 min;Documentary, Crime, History;70;6493
Project Mc²;(2015–2017);26 min;Family;59;1060
We Baby Bears;(2022– );11 min;Animation, Adventure, Comedy;59;277
Small Crimes;(2017);95 min;Crime, Drama, Thriller;58;8250
Ailiseu;(2009–2013);60 min;Action, Mystery, Romance;77;2061
Operation Hyacinth;(2021);112 min;Crime, Drama;67;3304
TharnType;(2019–2021);52 min;Romance;81;2164
Za duzy na bajki;(2022);106 min;Comedy, Family;62;1074
Transformers: Robots in Disguise;(2014–2020);22 min;Animation, Action, Adventure;59;1091
Skylanders Academy;(2016–2018);25 min;Animation, Action, Adventure;66;781
Real Rob;(2015– );30 min;Comedy;63;2905
Into the Wind;(2022);107 min;Comedy, Drama, Romance;52;947
Tallulah;(2016);111 min;Comedy, Drama, Romance;67;20352
Death Note;(2015);46 min;Crime, Drama, Fantasy;71;1626
May the Devil Take You;(2018);110 min;Horror, Mystery, Thriller;59;4369
Tunnel;(2017);60 min;Crime, Drama, Fantasy;83;2940
Gun City;(2018);126 min;Crime, History, Thriller;63;3970
Marriage Contract;(2016);75 min;Drama;75;771
Precious Cargo;(2016);90 min;Action, Comedy, Thriller;46;9467
Svaha: The Sixth Finger;(2019);122 min;Crime, Horror, Mystery;62;4053
Perdida;(2018);103 min;Crime, Drama, Mystery;56;4915
Saturday Morning All Star Hits!;(2021– );23 min;Animation, Comedy;75;1005
